id_facturacion,fecha,tipo,tipo_comprobante,id_cliente,cliente,zona,total,subtotal
900001,2026-05-01,FC,Factura,1001,Cliente Demo Norte 1,ZONA NORTE,4250000,3512397
900002,2026-05-01,FC,Factura,1002,Cliente Demo Centro 1,ZONA CENTRO,3850000,3181818
900003,2026-05-02,FC,Factura,1003,Cliente Demo Sur 1,ZONA SUR,5120000,4231405
900004,2026-05-02,NC,Nota de credito,1002,Cliente Demo Centro 1,ZONA CENTRO,450000,371901
900005,2026-05-03,FC,Factura,1004,Cliente Demo Norte 2,ZONA NORTE,6180000,5107438
900006,2026-05-04,ND,Nota de debito,1005,Cliente Demo Centro 2,ZONA CENTRO,320000,264463
900007,2026-05-04,FC,Factura,1006,Cliente Demo Sur 2,ZONA SUR,2980000,2462810
900008,2026-05-05,FC,Factura,1007,Cliente Demo Norte 3,ZONA NORTE,7450000,6157025
900009,2026-05-06,FC,Factura,1008,Cliente Demo Centro 3,ZONA CENTRO,4360000,3603306
900010,2026-05-06,FC,Factura,1009,Cliente Demo Sur 3,ZONA SUR,6890000,5694215
900011,2026-05-07,FC,Factura,1010,Cliente Demo Norte 4,ZONA NORTE,2750000,2272727
900012,2026-05-08,FC,Factura,1011,Cliente Demo Centro 4,ZONA CENTRO,5980000,4942149
